celsius,fahrenheit
-50.0,-58.0
-45.0,-49.0
-40.0,-40.0
-35.0,-31.0
-30.0,-22.0
-25.0,-13.0
-20.0,-4.0
-15.0,5.0
-10.0,14.0
-5.0,23.0
0.0,32.0
5.0,41.0
10.0,50.0
15.0,59.0
20.0,68.0
25.0,77.0
30.0,86.0
35.0,95.0
40.0,104.0
45.0,113.0
50.0,122.0
55.0,131.0
60.0,140.0
65.0,149.0
70.0,158.0
75.0,167.0
80.0,176.0
85.0,185.0
90.0,194.0
95.0,203.0
100.0,212.0
105.0,221.0
110.0,230.0
115.0,239.0
120.0,248.0
125.0,257.0
130.0,266.0
135.0,275.0
140.0,284.0
145.0,293.0
150.0,302.0
